Location,Lat,Long
Adelaide,-34.928497,138.600739
Albany,-35.0247822,117.883608
Albury,-36.07373,146.913544
AliceSprings,-23.70068,133.880707
BadgerysCreek,-33.887421,150.7441627
Ballarat,-37.5623025,143.8605649
Bendigo,-36.76131821,144.2803955
Brisbane,-27.4689682,153.0234991
Cairns,-16.9206657,145.7721854
Canberra,-35.2975906,149.1012676
Cobar,-31.4983333,145.8344444
CoffsHarbour,-30.2962407,153.1135293
Dartmoor,-37.9225444,141.2766551
Darwin,-12.46044,130.8410469
GoldCoast,-28.0023731,153.4145987
Hobart,-42.8825088,147.3281233
Katherine,-14.4646157,132.2635993
Launceston,-41.4340813,147.1373496
Melbourne,-37.8142176,144.9631608
MelbourneAirport,-37.6669512,144.8334927
Mildura,-34.1847265,142.1624972
Moree,-29.4617202,149.8407153
MountGambier,-37.8246698,140.7820068
MountGinini,-35.5297437,148.7725396
Newcastle,-32.9192953,151.7795348
Nhil,-36.3331297,141.6492931
NorahHead,-33.2816486,151.5763476
NorfolkIsland,-29.0289575,167.9587289
Nuriootpa,-34.4693354,138.9939006
PearceRAAF,-31.6739604,116.0175435
Penrith,-33.7510792,150.6941684
Perth,-31.9558964,115.8605801
PerthAirport,-31.9406095,115.9676077
Portland,-38.3456231,141.6042304
Richmond,-37.8203955,145.0025153
Sale,-38.1050358,147.0647902
SalmonGums,-32.9815347,121.6439417
Sydney,-33.8548157,151.2164539
SydneyAirport,-33.88585245,150.7006093
Townsville,-19.2569391,146.8239537
Tuggeranong,-35.4209771,149.0921341
Uluru,-25.344857,131.0325171
WaggaWagga,-35.115,147.3677778
Walpole,-34.9776796,116.7310063
Watsonia,-37.7110022,145.083635
Williamtown,-32.815,151.8427778
Witchcliffe,-34.0263348,115.1004768
Wollongong,-34.4243941,150.89385
Woomera,-31.1999142,136.8253532
